Employee_Name,EmpID,GenderID,EmpStatusID,DeptID,PerfScoreID,FromDiversityJobFairID,Salary,Termd,PositionID,Position,State,DOB,Gender,CitizenDesc,ATSI,DateofHire,DateofTermination,TermReason,EmploymentStatus,Department,ManagerName,ManagerID,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,DaysLateLast30,Absences,Employment Type
"Adinolfi, Wilson  K",10026,1,1,5,4,0,62506,0,19,Production Technician I,QLD,10/07/1988,Male,Citizen,No,5/07/2016,,N/A-StillEmployed,Active,Production       ,Michael Albert,22,LinkedIn,Exceeds,4.6,5,0,0,1,Full-Time
"Ait Sidi, Karthikeyan   ",10084,1,5,3,3,0,104437,1,27,Sr. DBA,QLD,5/05/1980,Male,Citizen,No,30/03/2020,16/06/2023,career change,Voluntarily Terminated,IT/IS,Simon Roup,4,Indeed,Fully Meets,4.96,3,6,0,17,Full-Time
"Akinkuolie, Sarah",10196,0,5,5,3,0,64955,1,20,Production Technician II,QLD,19/09/1993,Female,Citizen,No,5/07/2016,24/09/2017,hours,Voluntarily Terminated,Production       ,Kissy Sullivan,20,LinkedIn,Fully Meets,3.02,3,0,0,3,Full-Time
"Alagbe,Trina",10088,0,1,5,3,0,64991,0,19,Production Technician I,QLD,27/09/1993,Female,Citizen,No,7/01/2013,,N/A-StillEmployed,Active,Production       ,Elijiah Gray,16,Indeed,Fully Meets,4.84,5,0,0,15,Full-Time
"Anderson, Carol ",10069,0,5,5,3,0,50825,1,19,Production Technician I,QLD,8/09/1994,Female,Citizen,No,11/07/2016,6/09/2021,return to school,Voluntarily Terminated,Production       ,Webster Butler,39,Google Search,Fully Meets,5,4,0,0,2,Full-Time
"Anderson, Linda  ",10002,0,1,5,4,0,57568,0,19,Production Technician I,QLD,22/05/1982,Female,Citizen,No,9/01/2017,,N/A-StillEmployed,Active,Production       ,Amy Dunn,11,LinkedIn,Exceeds,5,5,0,0,15,Full-Time
"Andreola, Colby",10194,0,1,4,3,0,95660,0,24,Software Engineer,QLD,24/05/1984,Female,Citizen,No,10/11/2019,,N/A-StillEmployed,Active,Software Engineering,Alex Sweetwater,10,LinkedIn,Fully Meets,3.04,3,4,0,19,Full-Time
"Athwal, Sam",10062,1,1,5,3,0,59365,0,19,Production Technician I,QLD,18/02/1988,Male,Citizen,No,30/09/2018,,N/A-StillEmployed,Active,Production       ,Ketsia Liebig,19,Employee Referral,Fully Meets,5,4,0,0,19,Full-Time
"Bachiochi, Linda",10114,0,3,5,3,1,47837,0,19,Production Technician I,QLD,11/02/1975,Female,Citizen,No,6/07/2014,,N/A-StillEmployed,Active,Production       ,Brannon Miller,12,Diversity Job Fair,Fully Meets,4.46,3,0,0,4,Full-Time
"Bacong, Alejandro ",10250,1,1,3,3,0,50178,0,14,IT Support,QLD,7/01/1993,Male,Citizen,No,5/01/2020,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,7,Indeed,Fully Meets,5,5,6,0,16,Full-Time
"Baczenski, Rachael  ",10252,0,5,5,3,1,54670,1,19,Production Technician I,QLD,12/01/1979,Female,Citizen,Yes,10/01/2016,12/01/2022,Another position,Voluntarily Terminated,Production       ,David Stanley,14,Diversity Job Fair,Fully Meets,4.2,4,0,0,12,Full-Time
"Barbara, Thomas",10242,1,5,5,3,1,47211,1,19,Production Technician I,QLD,21/02/1979,Male,Citizen,Yes,2/04/2017,19/09/2021,unhappy,Voluntarily Terminated,Production       ,Kissy Sullivan,20,Diversity Job Fair,Fully Meets,4.2,3,0,0,15,Full-Time
"Barbossa, Hector",10012,1,1,3,4,1,92328,0,9,Data Analyst,VIC,4/07/1993,Male,Citizen,No,10/11/2019,,N/A-StillEmployed,Active,IT/IS,Simon Roup,4,Diversity Job Fair,Exceeds,4.28,4,5,0,9,Part-Time
"Barone, Francesco  A",10265,1,1,5,3,0,58709,0,19,Production Technician I,QLD,20/07/1988,Male,Citizen,No,20/02/2017,,N/A-StillEmployed,Active,Production       ,Kelley Spirea,18,Google Search,Fully Meets,4.6,4,0,0,7,Fixed Term Part-Time
"Barton, Nader",10066,1,5,5,3,0,52505,1,19,Production Technician I,QLD,15/07/1982,Male,Citizen,No,24/09/2017,6/04/2022,Another position,Voluntarily Terminated,Production       ,Michael Albert,22,On-line Web application,Fully Meets,5,5,0,0,1,Fixed Term Part-Time
"Bates, Norman",10061,1,4,5,3,0,57834,1,19,Production Technician I,QLD,18/10/1986,Male,Citizen,No,21/02/2016,4/08/2022,attendance,Terminated for Cause,Production       ,Kelley Spirea,18,Google Search,Fully Meets,5,4,0,0,20,Fixed Term Part-Time
"Beak, Kimberly  ",10023,0,2,5,4,0,70131,0,20,Production Technician II,QLD,17/04/1971,Female,Citizen,No,21/07/2021,,N/A-StillEmployed,Active,Production       ,Kelley Spirea,18,Employee Referral,Exceeds,4.4,3,0,0,16,Fixed Term Part-Time
"Beatrice, Courtney ",10055,0,1,5,3,0,59026,0,19,Production Technician I,QLD,27/10/1975,Female,Permanent Resident,No,4/04/2016,,N/A-StillEmployed,Active,Production       ,Elijiah Gray,16,Google Search,Fully Meets,5,5,0,0,12,Fixed Term Part-Time
"Becker, Renee",10245,0,4,3,3,0,110000,1,8,Database Administrator,QLD,4/04/1991,Female,Citizen,Yes,7/07/2019,12/09/2020,performance,Terminated for Cause,IT/IS,Simon Roup,4,Google Search,Fully Meets,4.5,4,5,0,8,Full-Time
"Becker, Scott",10277,1,3,5,3,0,53250,0,19,Production Technician I,QLD,6/04/1984,Male,Citizen,No,8/07/2018,,N/A-StillEmployed,Active,Production       ,Webster Butler,,LinkedIn,Fully Meets,4.2,4,0,0,13,Full-Time
"Bernstein, Sean",10046,1,1,5,3,0,51044,0,19,Production Technician I,QLD,22/12/1975,Male,Citizen,Yes,2/04/2017,,N/A-StillEmployed,Active,Production       ,Amy Dunn,11,Google Search,Fully Meets,5,3,0,0,13,Full-Time
"Biden, Lowan  M",10226,0,1,5,3,0,64919,0,19,Production Technician I,QLD,27/12/1963,Female,Citizen,No,19/08/2018,,N/A-StillEmployed,Active,Production       ,Ketsia Liebig,19,Indeed,Fully Meets,4.2,3,0,0,2,Full-Time
"Billis, Helen",10003,0,1,5,4,0,62910,0,19,Production Technician I,QLD,1/09/1994,Female,Citizen,No,7/07/2019,,N/A-StillEmployed,Active,Production       ,Brannon Miller,12,Indeed,Exceeds,5,3,0,0,19,Full-Time
"Blount, Dianna",10294,0,1,5,2,0,66441,0,20,Production Technician II,QLD,21/09/1995,Female,Citizen,No,4/04/2016,,N/A-StillEmployed,Active,Production       ,Michael Albert,22,CareerBuilder,Needs Improvement,2,3,0,2,3,Full-Time
"Bondwell, Betsy",10267,0,5,5,3,0,57815,1,20,Production Technician II,QLD,16/01/1972,Female,Citizen,No,10/01/2016,4/04/2019,career change,Voluntarily Terminated,Production       ,Elijiah Gray,16,Google Search,Fully Meets,4.8,5,0,0,5,Full-Time
"Booth, Frank",10199,1,4,3,3,0,103613,1,30,Enterprise Architect,NSW,30/07/1969,Male,Citizen,No,17/02/2019,19/02/2021,Learned that he is a gangster,Terminated for Cause,IT/IS,Simon Roup,4,LinkedIn,Fully Meets,3.5,5,7,0,2,Fixed Term Full-Time
"Boutwell, Bonalyn",10081,0,1,1,3,1,106367,0,26,Sr. Accountant,QLD,4/04/1992,Female,Citizen,No,16/02/2020,,N/A-StillEmployed,Active,Admin Offices,Brandon R. LeBlanc,3,Diversity Job Fair,Fully Meets,5,4,3,0,4,Full-Time
"Bozzi, Charles",10175,1,5,5,3,0,74312,1,18,Production Manager,QLD,10/03/1975,Male,Citizen,No,30/09/2018,7/08/2019,retiring,Voluntarily Terminated,Production       ,Janet King,2,Indeed,Fully Meets,3.39,3,0,0,14,Full-Time
"Brill, Donna",10177,0,5,5,3,0,53492,1,19,Production Technician I,QLD,24/08/1995,Female,Citizen,No,2/04/2017,15/06/2018,Another position,Voluntarily Terminated,Production       ,David Stanley,14,Google Search,Fully Meets,3.35,4,0,0,6,Full-Time
"Brown, Mia",10238,0,1,1,3,1,63000,0,1,Accountant I,QLD,24/11/1992,Female,Citizen,No,27/10/2013,,N/A-StillEmployed,Active,Admin Offices,Brandon R. LeBlanc,1,Diversity Job Fair,Fully Meets,4.5,2,6,0,14,Part-Time
"Buccheri, Joseph  ",10184,1,1,5,3,0,65288,0,20,Production Technician II,QLD,28/07/1988,Male,Citizen,No,29/09/2019,,N/A-StillEmployed,Active,Production       ,Webster Butler,,Google Search,Fully Meets,3.19,3,0,0,9,Full-Time
"Bugali, Josephine ",10203,0,3,5,3,1,64375,0,19,Production Technician I,QLD,30/10/1974,Female,Citizen,No,11/11/2018,,N/A-StillEmployed,Active,Production       ,Kissy Sullivan,20,Diversity Job Fair,Fully Meets,3.5,5,0,0,17,Full-Time
"Bunbury, Jessica",10188,0,5,6,3,0,74326,1,3,Area Sales Manager,NSW,1/06/1969,Female,Permanent Resident,No,15/08/2016,2/08/2019,Another position,Voluntarily Terminated,Sales,John Smith,17,Google Search,Fully Meets,3.14,5,0,1,19,Full-Time
"Burke, Joelle",10107,0,1,5,3,0,63763,0,20,Production Technician II,QLD,2/03/1985,Female,Citizen,No,5/03/2017,,N/A-StillEmployed,Active,Production       ,Amy Dunn,11,Employee Referral,Fully Meets,4.51,4,0,0,3,Full-Time
"Burkett, Benjamin ",10181,1,1,5,3,0,62162,0,20,Production Technician II,QLD,19/08/1982,Male,Citizen,No,4/04/2016,,N/A-StillEmployed,Active,Production       ,Ketsia Liebig,19,Indeed,Fully Meets,3.25,5,0,0,15,Full-Time
"Cady, Max ",10150,1,1,4,3,0,77692,0,25,Software Engineering Manager,QLD,22/11/1971,Male,Citizen,No,15/08/2016,,N/A-StillEmployed,Active,Software Engineering,Jennifer Zamora,5,Google Search,Fully Meets,3.84,3,5,0,4,Full-Time
"Candie, Calvin",10001,1,1,5,4,0,72640,0,18,Production Manager,QLD,9/08/1988,Male,Citizen,No,28/01/2021,,N/A-StillEmployed,Active,Production       ,Janet King,2,Indeed,Exceeds,5,3,0,0,14,Full-Time
